participant,group,OS,fovealword,parafovealword,fovealcolour,parafovealcolour,correctcolour,parafovealpositionword,congruency,condition,block,gender,age,handedness,trial,rt,acc
15286,A,MacIntel,MAIN,GREEN,green,black,green,right,congruent,fov_dis,3,male,20,right-handed,63,0.311765,1
15286,A,MacIntel,YELLOW,LABEL,red,black,red,left,incongruent,foveal_unified,3,male,20,right-handed,64,0.3344,1
15286,A,MacIntel,YELLOW,LABEL,yellow,black,yellow,right,congruent,foveal_unified,4,male,20,right-handed,1,0.352775,1
15286,A,MacIntel,GREEN,LABEL,black,blue,blue,right,incongruent,para_dis,4,male,20,right-handed,2,0.39349,1
15286,A,MacIntel,GREEN,SHORT,green,black,green,right,congruent,foveal_unified,4,male,20,right-handed,3,0.38186,1
15286,A,MacIntel,SIDE,YELLOW,yellow,black,yellow,left,congruent,fov_dis,4,male,20,right-handed,4,0.291445,1
15286,A,MacIntel,YELLOW,MAIN,black,blue,blue,left,incongruent,para_dis,4,male,20,right-handed,5,0.399425,1
15286,A,MacIntel,MAIN,GREEN,green,black,green,left,congruent,fov_dis,4,male,20,right-handed,6,0.332565,1
15286,A,MacIntel,GREEN,MAIN,green,black,green,left,congruent,foveal_unified,4,male,20,right-handed,7,0.315625,1
15286,A,MacIntel,SHORT,BLUE,black,blue,blue,left,congruent,para_unified,4,male,20,right-handed,8,0.281885,1
15286,A,MacIntel,MAIN,BLUE,red,black,red,right,incongruent,fov_dis,4,male,20,right-handed,9,0.417455,1
15286,A,MacIntel,BLUE,SIDE,black,blue,blue,right,congruent,para_dis,4,male,20,right-handed,10,0.33263,0
15286,A,MacIntel,YELLOW,MAIN,blue,black,blue,left,incongruent,foveal_unified,4,male,20,right-handed,11,0.279155,1
15286,A,MacIntel,SIDE,BLUE,blue,black,blue,right,congruent,fov_dis,4,male,20,right-handed,12,0.339845,1
15286,A,MacIntel,SIDE,BLUE,black,blue,blue,right,congruent,para_unified,4,male,20,right-handed,13,0.230155,1
15286,A,MacIntel,SIDE,RED,blue,black,blue,right,incongruent,fov_dis,4,male,20,right-handed,14,0.249845,1
15286,A,MacIntel,SHORT,GREEN,green,black,green,right,congruent,fov_dis,4,male,20,right-handed,15,0.285245,1
15286,A,MacIntel,BLUE,SHORT,blue,black,blue,left,congruent,foveal_unified,4,male,20,right-handed,16,0.33345,1
15286,A,MacIntel,BLUE,MAIN,black,yellow,yellow,right,incongruent,para_dis,4,male,20,right-handed,17,0.348735,1
15286,A,MacIntel,LABEL,YELLOW,black,yellow,yellow,right,congruent,para_unified,4,male,20,right-handed,18,0.298215,1
15286,A,MacIntel,SIDE,RED,black,blue,blue,right,incongruent,para_unified,4,male,20,right-handed,19,0.34595,1
15286,A,MacIntel,RED,MAIN,black,red,red,right,congruent,para_dis,4,male,20,right-handed,20,0.36621,1
15286,A,MacIntel,YELLOW,SHORT,red,black,red,right,incongruent,foveal_unified,4,male,20,right-handed,21,0.548705,1
15286,A,MacIntel,RED,MAIN,red,black,red,right,congruent,foveal_unified,4,male,20,right-handed,22,0.334235,1
15286,A,MacIntel,GREEN,SIDE,black,red,red,left,incongruent,para_dis,4,male,20,right-handed,23,0.2469,1
15286,A,MacIntel,SHORT,YELLOW,black,green,green,right,incongruent,para_unified,4,male,20,right-handed,24,0.24639,0
15286,A,MacIntel,SHORT,GREEN,black,green,green,right,congruent,para_unified,4,male,20,right-handed,25,0.383715,1
15286,A,MacIntel,RED,LABEL,red,black,red,left,congruent,foveal_unified,4,male,20,right-handed,26,0.26199,1
15286,A,MacIntel,RED,SIDE,green,black,green,right,incongruent,foveal_unified,4,male,20,right-handed,27,0.50027,1
15286,A,MacIntel,LABEL,BLUE,black,yellow,yellow,left,incongruent,para_unified,4,male,20,right-handed,28,0.365255,0
15286,A,MacIntel,SHORT,BLUE,blue,black,blue,left,congruent,fov_dis,4,male,20,right-handed,29,0.297215,0
15286,A,MacIntel,GREEN,SHORT,black,green,green,right,congruent,para_dis,4,male,20,right-handed,30,0.413605,1
15286,A,MacIntel,RED,LABEL,black,red,red,left,congruent,para_dis,4,male,20,right-handed,31,0.267995,1
15286,A,MacIntel,SHORT,YELLOW,green,black,green,right,incongruent,fov_dis,4,male,20,right-handed,32,0.392625,1
15286,A,MacIntel,SIDE,YELLOW,black,yellow,yellow,left,congruent,para_unified,4,male,20,right-handed,33,0.38503,0
