pp,Age,Valence,vidrep,mean_accuracy,mean_z_score,mean_rt
EPI_Y_17894,Age: young,Negative,Video repetition: 2,0.6,0.4582181443438752,2.5978333333333334
EPI_Y_17894,Age: young,Negative,Video repetition: 3,0.8,-0.6846772802593658,1.73525
EPI_Y_17894,Age: young,Positive,Video repetition: 1,0.8571428571428571,0.4973047041264611,2.6273333333333335
EPI_Y_17894,Age: young,Positive,Video repetition: 2,0.3333333333333333,-0.6061729186621378,1.7945000000000002
EPI_Y_17894,Age: young,Positive,Video repetition: 3,0.7272727272727273,-0.02633374154843683,2.232125
EPI_Y_17897,Age: young,Neutral,Video repetition: 1,0.8888888888888888,-0.45420500157890353,2.2919
EPI_Y_17897,Age: young,Neutral,Video repetition: 2,0.75,-0.06899823560141316,2.4606
EPI_Y_17897,Age: young,Neutral,Video repetition: 3,0.9,0.17342096013822447,2.566766666666666
EPI_Y_17897,Age: young,Negative,Video repetition: 1,0.7777777777777778,0.1571871920629034,2.559657142857142
EPI_Y_17897,Age: young,Negative,Video repetition: 2,0.6666666666666666,-0.0299904372288653,2.4776833333333332
EPI_Y_17897,Age: young,Negative,Video repetition: 3,0.8,0.09717498546563992,2.533375
EPI_Y_17897,Age: young,Positive,Video repetition: 1,0.75,-0.07036826559303423,2.46
EPI_Y_17897,Age: young,Positive,Video repetition: 2,0.8181818181818182,0.03484496357831827,2.5060777777777776
EPI_Y_17897,Age: young,Positive,Video repetition: 3,0.6666666666666666,-0.7683224335467163,2.1543333333333337
EPI_Y_17900,Age: young,Neutral,Video repetition: 1,0.625,0.11060973936044977,2.8912
EPI_Y_17900,Age: young,Neutral,Video repetition: 2,0.5,-0.5586714963994851,2.37925
EPI_Y_17900,Age: young,Neutral,Video repetition: 3,0.875,-0.10909431816413756,2.7231428571428573
EPI_Y_17900,Age: young,Negative,Video repetition: 1,0.5714285714285714,0.3706678892257592,3.090125
EPI_Y_17900,Age: young,Negative,Video repetition: 2,0.75,-0.21517380190603275,2.642
EPI_Y_17900,Age: young,Negative,Video repetition: 3,0.8333333333333334,-0.23765966430484323,2.6248
EPI_Y_17900,Age: young,Positive,Video repetition: 1,1,0.6894899643716799,3.3339999999999996
EPI_Y_17900,Age: young,Positive,Video repetition: 2,0.6363636363636364,-5.86958914064981e-4,2.806142857142857
EPI_Y_17900,Age: young,Positive,Video repetition: 3,0.7,-0.3920351946940169,2.5067142857142857
EPI_Y_17901,Age: young,Neutral,Video repetition: 1,0.3333333333333333,-1.2451129149302766,1.6481
EPI_Y_17901,Age: young,Neutral,Video repetition: 2,0.7777777777777778,-0.27943072450698675,2.5667
EPI_Y_17901,Age: young,Neutral,Video repetition: 3,0.5454545454545454,0.1851360669705068,3.0086166666666667
